"country","date","people_fully_vaccinated","people_vaccinated","people_fully_vaccinated","daily_vaccinations","population","continent","cumsum_total_vaccination","people_fully_vaccinated_per_million","people_vaccinated_per_million","daily_vaccinated_per_million"
"Seychelles",2021-02-07,20911,424884.333333333,20911,966,98789,"Africa",285981.109090909,211673.36444341,4300927.56615952,9778.41662533278
"Seychelles",2021-02-08,3980,37714,3980,945,98789,"Africa",286926.109090909,40287.8863031309,381763.151767909,9565.84235086902
"Seychelles",2021-02-09,6700,37723,6700,1163,98789,"Africa",288089.109090909,67821.3161384365,381854.255028394,11772.5657714928
"Seychelles",2021-02-10,10335,37726,10335,1567,98789,"Africa",289656.109090909,104616.910789663,381884.622781889,15862.0899087955
"Seychelles",2021-02-11,13867,37952,13867,2005,98789,"Africa",291661.109090909,140369.879237567,384172.326878499,20295.7819190396
"Seychelles",2021-02-12,104785.333333333,547555,104785.333333333,2203,98789,"Africa",293864.109090909,1060698.39084648,5542671.75495247,22300.0536496978
"Seychelles",2021-02-13,14181,41799,14181,2401,98789,"Africa",296265.109090909,143548.370770025,423113.909443359,24304.3253803561
"Seychelles",2021-02-14,142227.333333333,615627.333333333,142227.333333333,2383,98789,"Africa",298648.109090909,1439708.19963086,6231739.70111382,24122.1188593872
"Seychelles",2021-02-15,16441,41808,16441,2365,98789,"Africa",301013.109090909,166425.411736124,423205.012703844,23939.9123384182
"Seychelles",2021-02-16,18176,41815,18176,2224,98789,"Africa",303237.109090909,183988.09584063,423275.870795331,22512.6279241616
"Seychelles",2021-02-17,19512,41839,19512,1899,98789,"Africa",305136.109090909,197511.868730324,423518.81282329,19222.7879622225
"Seychelles",2021-02-18,20665,42621,20665,1638,98789,"Africa",306774.109090909,209183.208656834,431434.67390094,16580.793408173
"Seychelles",2021-02-19,21599,43461,21599,1594,98789,"Africa",308368.109090909,218637.702578222,439937.644879491,16135.3996902489
"Seychelles",2021-02-20,65544,735640.2,65544,1334,98789,"Africa",309702.109090909,663474.678354878,7446580.08482726,13503.5277206976
"Seychelles",2021-02-21,21599,43977,21599,1209,98789,"Africa",310911.109090909,218637.702578222,445160.8984806,12238.2046584134
"Seychelles",2021-02-22,72851,756125,72851,1403,98789,"Africa",312314.109090909,737440.403283766,7653939.2037575,14201.9860510786
"Seychelles",2021-02-23,23380,47188,23380,1511,98789,"Africa",313825.109090909,236666.025569648,477664.517304558,15295.2251768922
"Seychelles",2021-02-24,363532.666666667,669466,363532.666666667,1640,98789,"Africa",315465.109090909,3679890.13621625,6776726.15372157,16601.0385771695
"Seychelles",2021-02-25,23519,51577,23519,1687,98789,"Africa",317152.109090909,238073.064814909,522092.540667483,17076.8000485884
"Seychelles",2021-02-26,382267.333333333,691665,382267.333333333,1744,98789,"Africa",318896.109090909,3869533.38259658,7001437.40699875,17653.78736499
"Seychelles",2021-02-27,23549,55889,23549,2017,98789,"Africa",320913.109090909,238376.742349857,565741.125024041,20417.2529330189
"Seychelles",2021-02-28,385894.666666667,721693,385894.666666667,2030,98789,"Africa",322943.109090909,3906251.37076665,7305398.37431293,20548.8465314964
"Seychelles",2021-03-01,24230,55901,24230,1723,98789,"Africa",324666.109090909,245270.222393181,565862.59603802,17441.2130905263
"Seychelles",2021-03-02,404766.333333333,756447.666666667,404766.333333333,1418,98789,"Africa",326084.109090909,4097281.41122325,7657205.42435561,14353.8248185527
"Seychelles",2021-03-03,24602,56261,24602,1147,98789,"Africa",327231.109090909,249035.823826539,569506.726457399,11610.6044195204
"Seychelles",2021-03-04,24620,57095,24620,946,98789,"Africa",328177.109090909,249218.030347508,577948.96192896,9575.9649353673
"Seychelles",2021-03-05,454937.666666667,797226.333333333,454937.666666667,734,98789,"Africa",328911.109090909,4605144.97228099,8069990.9234159,7429.97702173319
"Seychelles",2021-03-06,473257,805542,473257,522,98789,"Africa",329433.109090909,4790583.97189971,8154166.96190871,5283.98910809908
"Seychelles",2021-03-07,418926.5,704720,418926.5,571,98789,"Africa",330004.109090909,4240618.89481622,7133587.74762372,5779.99574851451
"Seychelles",2021-03-08,26567,57901,26567,620,98789,"Africa",330624.109090909,268926.702365648,586107.765034569,6276.00238892994
"Seychelles",2021-03-09,482169.666666667,874512,482169.666666667,772,98789,"Africa",331396.109090909,4880803.19333799,8852321.61475468,7814.6352326676
"Seychelles",2021-03-10,26894,60439,26894,924,98789,"Africa",332320.109090909,272236.787496584,611798.884491188,9353.26807640527
"Seychelles",2021-03-11,27036,61070,27036,913,98789,"Africa",333233.109090909,273674.194495339,618186.235309599,9241.91964692425
"Seychelles",2021-03-12,538870.666666667,931638.666666667,538870.666666667,865,98789,"Africa",334098.109090909,5454763.85697463,9430591.12519275,8756.0355910071
"Seychelles",2021-03-13,564685.333333333,951574,564685.333333333,817,98789,"Africa",334915.109090909,5716075.00160274,9632388.22136068,8270.15153508994
