date,continent,people_fully_vaccinated,people_fully_vaccinated_per_million,people_vaccinated,daily_vaccinations,daily_vaccinated_per_million,people_vaccinated_per_million
2021-01-25,South America,282666.0,14518.0,4667821.0,184496.0,8544.0,216601.0
2021-01-26,Africa,67428.0,682555.0,175814.0,2254.0,22816.0,1779688.0
2021-01-26,Asia,2740546.0,306002.0,17928769.0,629362.0,37095.0,1443239.0
2021-01-26,Europe,5393699.0,18207380.0,35516379.0,1404999.0,1036919.0,48292737.0
2021-01-26,North America,3707133.0,1008951.0,22350662.0,1183392.0,51572.0,15207297.0
2021-01-26,South America,292280.0,14777.0,4823227.0,184758.0,8544.0,221388.0
2021-01-27,Africa,67428.0,682556.0,178510.0,2254.0,22816.0,1793337.0
2021-01-27,Asia,2743473.0,306004.0,18932271.0,629416.0,37201.0,1498663.0
2021-01-27,Europe,5393711.0,18437151.0,35622654.0,1415328.0,1039878.0,48445844.0
2021-01-27,North America,4003501.0,1180217.0,23375396.0,1225411.0,133628.0,18040168.0
2021-01-27,South America,304349.0,15093.0,4978633.0,185020.0,8544.0,226174.0
2021-01-28,Africa,67428.0,682556.0,475975.0,17263.0,22816.0,1800161.0
2021-01-28,Asia,2898910.0,309827.0,20467727.0,679371.0,37594.0,1591008.0
2021-01-28,Europe,5393716.0,18552037.0,35728928.0,1428148.0,1041357.0,48522397.0
2021-01-28,North America,4496678.0,1494762.0,24784370.0,1278431.0,174656.0,24446137.0
2021-01-28,South America,331086.0,16524.0,7109529.0,238267.0,8820.0,347810.0
2021-01-29,Africa,67428.0,682556.0,483866.0,32130.0,22816.0,1806986.0
2021-01-29,Asia,3017828.0,322819.0,22115713.0,743639.0,38707.0,1624350.0
2021-01-29,Europe,5393722.0,18666923.0,38108683.0,1447572.0,1042096.0,48598950.0
2021-01-29,North America,5048621.0,1856418.0,26089088.0,1286077.0,195169.0,25474072.0
2021-01-29,South America,364337.0,17870.0,7737129.0,264890.0,8957.0,362345.0
2021-01-30,Africa,67428.0,682556.0,639825.0,39563.0,22816.0,2620907.0
2021-01-30,Asia,3073967.0,329315.0,22758325.0,764521.0,38966.0,1641021.0
2021-01-30,Europe,5672548.0,21549990.0,40826558.0,1482893.0,1042466.0,50232944.0
